id,name,state_id,state_code,state_name,country_id,country_code,country_name,latitude,longitude,wikiDataId
132099,Hindupur,4017,AP,Andhra Pradesh,101,IN,India,13.82807,77.49143,Q760056
132151,Ichchapuram,4017,AP,Andhra Pradesh,101,IN,India,19.11393,84.68721,Q952228
132189,Jaggayyapeta,4017,AP,Andhra Pradesh,101,IN,India,16.8938,80.09807,Q5475354
132228,Jammalamadugu,4017,AP,Andhra Pradesh,101,IN,India,14.84677,78.38314,Q2010440
132328,Kadiri,4017,AP,Andhra Pradesh,101,IN,India,14.11168,78.15982,Q2351757
132332,Kaikalur,4017,AP,Andhra Pradesh,101,IN,India,16.55154,81.214,Q2290801
132678,Kakinada,4017,AP,Andhra Pradesh,101,IN,India,16.96036,82.23809,Q59018
132358,Kalyandurg,4017,AP,Andhra Pradesh,101,IN,India,14.54519,77.10552,Q2738467
132691,Kamalapuram,4017,AP,Andhra Pradesh,101,IN,India,14.5983,78.66948,Q2441455
132372,Kandukur,4017,AP,Andhra Pradesh,101,IN,India,15.21542,79.9039,Q2564821
132374,Kanigiri,4017,AP,Andhra Pradesh,101,IN,India,15.40555,79.50694,Q12992748
132376,Kankipadu,4017,AP,Andhra Pradesh,101,IN,India,16.4353,80.76715,Q3428285
132388,Kanuru,4017,AP,Andhra Pradesh,101,IN,India,16.28584,81.25464,Q2564832
132729,Kavali,4017,AP,Andhra Pradesh,101,IN,India,14.9163,79.99449,Q2138686
132552,Kolanukonda,4017,AP,Andhra Pradesh,101,IN,India,16.45392,80.61046,Q6427052
132567,Kondapalle,4017,AP,Andhra Pradesh,101,IN,India,16.61989,80.54244,Q2234676
132584,Korukollu,4017,AP,Andhra Pradesh,101,IN,India,16.5,81.25,Q6432751
132590,Kosigi,4017,AP,Andhra Pradesh,101,IN,India,15.8551,77.24463,Q6433178
132616,Kovvur,4017,AP,Andhra Pradesh,101,IN,India,17.0162,81.72934,Q2235664
132621,Krishna,4017,AP,Andhra Pradesh,101,IN,India,16.66667,81,Q15382
132653,Kuppam,4017,AP,Andhra Pradesh,101,IN,India,12.74931,78.34189,Q587868
132660,Kurnool,4017,AP,Andhra Pradesh,101,IN,India,15.58333,78.33333,Q15381
133055,Macherla,4017,AP,Andhra Pradesh,101,IN,India,16.47635,79.43533,Q2241562
132806,Machilipatnam,4017,AP,Andhra Pradesh,101,IN,India,16.18747,81.13888,Q845662
132808,Madanapalle,4017,AP,Andhra Pradesh,101,IN,India,13.5503,78.50288,Q1017723
133059,Madugula,4017,AP,Andhra Pradesh,101,IN,India,17.91589,82.81578,Q3420577
132890,Mandapeta,4017,AP,Andhra Pradesh,101,IN,India,16.86254,81.92921,Q2249065
132891,Mandasa,4017,AP,Andhra Pradesh,101,IN,India,18.8683,84.46296,Q2249065
132902,Mangalagiri,4017,AP,Andhra Pradesh,101,IN,India,16.43083,80.56815,Q2349939
133088,Markapur,4017,AP,Andhra Pradesh,101,IN,India,15.73534,79.26848,Q2087705
133114,Nagari,4017,AP,Andhra Pradesh,101,IN,India,13.32139,79.58557,Q3869911
133258,Nagireddipalli,4017,AP,Andhra Pradesh,101,IN,India,14.27005,79.10131,Q847606
133143,Nandigama,4017,AP,Andhra Pradesh,101,IN,India,16.7717,80.28596,Q3428280
133144,Nandikotkur,4017,AP,Andhra Pradesh,101,IN,India,15.85668,78.26569,Q6963320
133146,Nandyal,4017,AP,Andhra Pradesh,101,IN,India,15.47799,78.4836,Q1772751
133156,Narasannapeta,4017,AP,Andhra Pradesh,101,IN,India,18.41428,84.04463,Q3429912
133157,Narasapur,4017,AP,Andhra Pradesh,101,IN,India,16.43425,81.69845,Q379516
133158,Narasaraopet,4017,AP,Andhra Pradesh,101,IN,India,16.23488,80.04927,Q2483789
133160,Narasingapuram,4017,AP,Andhra Pradesh,101,IN,India,13.60759,79.31652,Q2475130
133275,Narayanavanam,4017,AP,Andhra Pradesh,101,IN,India,13.42565,79.58881,Q2349929
133173,Narsipatnam,4017,AP,Andhra Pradesh,101,IN,India,17.66709,82.61245,Q2563464
133283,Nayudupet,4017,AP,Andhra Pradesh,101,IN,India,13.90742,79.89465,Q3873467
133206,Nellore,4017,AP,Andhra Pradesh,101,IN,India,14.08333,79.58333,Q15383
133214,Nidadavole,4017,AP,Andhra Pradesh,101,IN,India,16.90572,81.67222,Q2563407
133294,Nuzvid,4017,AP,Andhra Pradesh,101,IN,India,16.78854,80.84593,Q2734090
133300,Ongole,4017,AP,Andhra Pradesh,101,IN,India,15.50357,80.04454,Q1920249
133521,Pakala,4017,AP,Andhra Pradesh,101,IN,India,13.44903,79.11493,Q3430034
133523,Palakollu,4017,AP,Andhra Pradesh,101,IN,India,16.5167,81.73,Q1945121
133340,Palasa,4017,AP,Andhra Pradesh,101,IN,India,18.77257,84.41012,Q1797254
133534,Palkonda,4017,AP,Andhra Pradesh,101,IN,India,18.60374,83.75568,Q3415029
133331,Pallevada,4017,AP,Andhra Pradesh,101,IN,India,16.5779,81.29463,Q7127847
133336,Palmaner,4017,AP,Andhra Pradesh,101,IN,India,13.2,78.74725,Q1752584
133361,Parlakimidi,4017,AP,Andhra Pradesh,101,IN,India,18.78113,84.08836,Q1797389
133549,Parvatipuram,4017,AP,Andhra Pradesh,101,IN,India,18.78392,83.42569,Q1925363
133395,Pavuluru,4017,AP,Andhra Pradesh,101,IN,India,15.85292,80.16468,Q2249295
133400,Pedana,4017,AP,Andhra Pradesh,101,IN,India,16.25582,81.14378,Q2563472
134447,pedda nakkalapalem,4017,AP,Andhra Pradesh,101,IN,India,15.8668,80.16202,Q663062
133402,Peddapuram,4017,AP,Andhra Pradesh,101,IN,India,17.07701,82.13836,Q7159047
133409,Penugonda,4017,AP,Andhra Pradesh,101,IN,India,16.65363,81.7455,Q2716197
133410,Penukonda,4017,AP,Andhra Pradesh,101,IN,India,14.08286,77.59473,Q2572975
133440,Phirangipuram,4017,AP,Andhra Pradesh,101,IN,India,16.29078,80.26233,Q3430158
133455,Pippara,4017,AP,Andhra Pradesh,101,IN,India,16.71667,81.55,Q2720099
133465,Pithapuram,4017,AP,Andhra Pradesh,101,IN,India,17.1168,82.25284,Q2563530
133468,Polavaram,4017,AP,Andhra Pradesh,101,IN,India,17.24754,81.64372,Q3420642
133476,Ponnur,4017,AP,Andhra Pradesh,101,IN,India,16.07114,80.54944,Q720891
133478,Ponnuru,4017,AP,Andhra Pradesh,101,IN,India,16.06547,80.55203,Q2568315
133485,Prakasam,4017,AP,Andhra Pradesh,101,IN,India,15.5,79.5,Q15390
133489,Proddatur,4017,AP,Andhra Pradesh,101,IN,India,14.7502,78.54813,Q2349966
133497,Pulivendla,4017,AP,Andhra Pradesh,101,IN,India,14.42139,78.22502,Q2719107
133506,Punganuru,4017,AP,Andhra Pradesh,101,IN,India,13.36672,78.57186,Q1854679
133517,Puttaparthi,4017,AP,Andhra Pradesh,101,IN,India,14.1652,77.8117,Q1068595
133519,Puttur,4017,AP,Andhra Pradesh,101,IN,India,13.44189,79.55314,Q1945739
133671,Rajahmundry,4017,AP,Andhra Pradesh,101,IN,India,17.00517,81.77784,Q1639492
